temp,cs,signal,snr,distn,distf,refp
30.1,2661,0.456334,64,478.235,0.0,1.2
30.1,2665,0.451945,65,475.1492,0.0,1.2
30.1,2657,0.432634,65,461.5715,0.0,1.2
30.1,2673,0.415815,65,449.7459,0.0,1.2
30.1,266a,0.418673,65,451.7555,0.0,1.2
30.1,266d,0.424464,65,455.827,0.0,1.2
30.1,265c,0.430559,65,460.1124,0.0,1.2
30.1,2668,0.436527,65,464.3086,0.0,1.2
30.1,267c,0.441748,65,467.9798,0.0,1.2
30.1,2668,0.447357,65,471.9232,0.0,1.2
30.1,2660,0.453089,64,475.9532,0.0,1.2
30.1,2665,0.459159,64,480.2324,0.0,1.2
30.1,2663,0.465413,64,484.7039,0.0,1.2
30.1,2661,0.471453,64,489.0227,0.0,1.2
30.1,2669,0.476074,64,492.3262,0.0,1.2
30.1,2677,0.480963,64,495.8213,0.0,1.2
30.1,267c,0.486731,64,499.9458,0.0,1.2
30.1,2660,0.492129,64,503.805,0.0,1.2
30.1,2676,0.49058,64,502.6977,0.0,1.2
30.1,2670,0.488148,64,500.9583,0.0,1.2
30.1,265c,0.494147,64,505.2478,0.0,1.2
30.1,266f,0.500644,64,509.8925,0.0,1.2
30.1,2666,0.506989,63,514.4294,0.0,1.2
30.1,264f,0.513541,63,519.1137,0.0,1.2
30.1,2651,0.520026,63,523.7502,0.0,1.2
30.1,264f,0.526416,63,528.3185,0.0,1.2
30.1,2656,0.533198,63,533.1677,0.0,1.3
30.1,2662,0.540523,63,538.405,0.0,1.3
30.1,266b,0.547828,63,543.5631,0.0,1.3
30.1,2664,0.555393,62,548.8881,0.0,1.3
30.1,2679,0.562937,62,554.1978,0.0,1.3
30.0,266e,0.570369,62,559.4289,0.0,1.3
30.1,2666,0.577431,62,564.4002,0.0,1.3
30.1,2677,0.584528,62,569.395,0.0,1.3
30.1,2668,0.58426,62,569.2064,0.0,1.3
30.1,265d,0.581752,62,567.441,0.0,1.3
30.0,2660,0.581481,62,567.2504,0.0,1.3
30.1,2667,0.572646,62,561.0319,0.0,1.3
30.1,265d,0.556301,63,549.5272,0.0,1.3
30.0,265a,0.542164,63,539.5764,0.0,1.3
30.0,264a,0.53,63,530.8815,0.0,1.3
30.0,2669,0.519739,63,523.5449,0.0,1.2
30.0,2653,0.512111,63,518.0916,0.0,1.2
30.0,267a,0.438468,66,465.6732,0.0,1.2
30.0,266a,0.237058,68,327.4427,0.0,1.1
30.0,2658,0.22561,68,319.8392,0.0,1.1
30.0,2665,0.226084,68,320.154,0.0,1.1
30.0,2641,0.226308,68,320.3028,0.0,1.1
30.0,2658,0.226449,68,320.3966,0.0,1.1
30.0,2650,0.226535,68,320.4536,0.0,1.1
30.0,2668,0.226589,68,320.4897,0.0,1.1
30.0,264c,0.226613,68,320.5055,0.0,1.1
